Editable,PercentageN,PoundsPerGallons,Usage,Nutrients,Description,FormulationType_Id,FormulationType_Name,LbsPerGallon,OwnerRanchId,IsPrivate,Id,Name
False,0.0,,0,,,2,Wet,9.4,,False,453,0-0-12
False,0.0,,0,,,2,Wet,11.9,,False,24,0-0-24
False,0.0,,0,,,2,Wet,12.0,,False,15,0-0-25
False,0.0,,0,,,1,Dry,0.0,,False,44,0-0-50
False,0.0,,0,,,2,Wet,6.7,,False,157,00-52-00
False,0.0,,0,,,2,Wet,11.3,,False,49,0-14-14
False,0.0,,0,,,1,Dry,0.0,,False,142,0-52-34
False,6.0,,0,,,1,Dry,0.0,,False,322,06-25-10
False,1.3,,0,,,2,Wet,8.6,,False,43,1.3-3.5-.05
False,1.4,,0,,,2,Wet,8.6,,False,26,1.4-3.89-0.06
False,10.8,,0,,,2,Wet,11.5,,False,181,10.8-18-0
False,10.0,,0,,,1,Dry,0.0,,False,164,10-0-23
False,10.0,,0,,,2,Wet,10.0,,False,188,10-10-0
False,10.0,,0,,,1,Dry,0.0,,False,128,10-10-34
False,10.0,,0,,,2,Wet,10.8,,False,301,10-12-0
False,10.0,,0,,,2,Wet,12.6,,False,50,10-20-10
False,10.0,,0,,,2,Wet,11.65,,False,136,10-34-0
False,11.0,,0,,,1,Dry,0.0,,False,124,11-44-13
False,11.0,,0,,,1,Dry,0.0,,False,129,11-52-0
False,12.0,,0,,,1,Dry,0.0,,False,35,12-12-12
False,0.0,,0,,,2,Wet,12.0,,False,151,12-26-26
False,13.0,,0,,,1,Dry,0.0,,False,96,13-13-13
False,13.0,,0,,,1,Dry,0.0,,False,95,13-7.5-0.46
False,14.0,,0,,,2,Wet,10.2,,False,195,14-0-0-5
False,1.0,,0,,,2,Wet,10.0,,False,100,1-4-6
False,15.0,,0,,,2,Wet,12.6,,False,208,15-0-0-16S
False,15.0,,0,,,1,Dry,0.0,,False,132,15-10-30
False,15.0,,0,,,1,Dry,0.0,,False,135,15-11-31
False,15.0,,0,,,1,Dry,0.0,,False,154,15-5-0
False,15.0,,0,,,1,Dry,0.0,,False,189,15-6-27 Ag Solution
False,15.0,,0,,,2,Wet,10.4,,False,22,15-8-4
False,15.0,,0,,,1,Dry,0.0,,False,243,15-8-4 Dry
False,17.0,,0,,,2,Wet,12.7,,False,41,17-0-0-8
False,18.0,,0,,,1,Dry,0.0,,False,1,18-0-0
False,18.0,,0,,,2,Wet,10.4,,False,42,18-0-0 plus
False,18.0,,0,,,2,Wet,10.7,,False,148,18-0-0-5
False,18.0,,0,,,2,Wet,10.7,,False,140,18-0-0-6.5
False,18.0,,0,,,1,Dry,0.0,,False,12,18-18-18
False,18.0,,0,,,1,Dry,0.0,,False,97,18-6-12
False,18.0,,0,,,1,Dry,0.0,,False,127,18-8-13
False,0.0,,0,,,1,Dry,0.0,,False,147,2.5-12-30
False,20.0,,0,,,2,Wet,10.5,,False,314,20-0-0
False,20.0,,0,,,2,Wet,10.5,,False,14,20-0-0-5
False,20.0,,0,,,2,Wet,10.6,,False,36,20-10-0
False,20.0,,0,,,1,Dry,0.0,,False,114,20-10-20
False,20.0,,0,,,1,Dry,0.0,,False,191,20-19-20 Ag Solution
False,20.0,,0,,,1,Dry,0.0,,False,82,20-20-20
False,21.0,,0,,,1,Dry,0.0,,False,73,21-0-0-4
False,21.0,,0,,,1,Dry,0.0,,False,192,21-7-14
False,2.0,,0,,,2,Wet,11.6,,False,237,2-17-17
False,22.0,,0,,,2,Wet,11.1,,False,72,22-00-13
False,2.0,,0,,,2,Wet,9.6,,False,153,2-2-2-0
False,2.0,,0,,,2,Wet,9.0,,False,240,2-5-0 Organic
False,27.0,,0,,,2,Wet,10.9,,False,23,27-0-0-4.8
False,28.0,,0,,,2,Wet,10.76,,False,40,28-0-0 Plus
False,28.0,,0,,,2,Wet,11.05,,False,19,28-0-0-5
False,3.5,,0,,,2,Wet,11.63,,False,20,3.5-12-14
False,3.0,,0,,,2,Wet,9.5,,False,241,3-0-1 Organic
False,0.3,,0,,,2,Wet,10.0,,False,330,3-1-5
False,3.0,,0,,,2,Wet,11.0,,False,235,3-18-18
False,3.0,,0,,,2,Wet,10.4,,False,17,3-5-10
False,3.0,,0,,,2,Wet,11.0,,False,99,3-9-9
False,10.0,,0,,,2,Wet,10.3,,False,137,4-10-10
False,4.0,,0,,,2,Wet,10.0,,False,98,4-11-8
False,4.0,,0,,,2,Wet,11.2,,False,209,4-12-0
False,4.0,,0,,,2,Wet,9.9,,False,206,4-16-0
False,4.0,,0,,,1,Dry,0.0,,False,210,4-2-41
False,4.0,,0,,,2,Wet,10.0,,False,83,4-4-10
False,4.0,,0,,,1,Dry,0.0,,False,239,4-4-2 Organic
False,46.0,,0,,,1,Dry,0.0,,False,155,46-0-0
False,5.0,,0,,,1,Dry,0.0,,False,134,5-0-0
False,5.0,,0,,,1,Dry,0.0,,False,165,5-0-20
False,5.0,,0,,,2,Wet,11.19,,False,268,5-0-6
False,5.0,,0,,,1,Dry,0.0,,False,156,5-10-27
False,5.0,,0,,,1,Dry,0.0,,False,131,5-10-40
False,5.0,,0,,,2,Wet,9.66,,False,328,5-15-0
False,5.0,,0,,,2,Wet,12.71,,False,47,5-17-17
False,5.0,,0,,,2,Wet,10.25,,False,48,5-20-0
False,5.0,,0,,,2,Wet,10.7,,False,16,5-20-3-1
False,5.0,,0,,,1,Dry,0.0,,False,194,5-25-25
False,6.0,,0,,,2,Wet,8.6,,False,31,6-16-0-1.94S
False,6.0,,0,,,1,Dry,0.0,,False,30,6-20-20
False,6.0,,0,,,1,Dry,0.0,,False,270,6-24-24
False,6.0,,0,,,1,Dry,0.0,,False,133,6-31-31
False,7.0,,0,,,2,Wet,10.25,,False,45,7-21-1 Humiplus
False,7.0,,0,,,2,Wet,10.5,,False,37,7-7-0-7.46S
False,7.0,,0,,,2,Wet,10.0,,False,190,7-7-7
False,0.0,,0,,,2,Wet,9.8,,False,169,8-0-6
False,0.0,,0,,,2,Wet,9.7,,False,146,8-0-9
False,8.0,,0,,,1,Dry,0.0,,False,225,8-1-1
False,8.0,,0,,,2,Wet,10.6,,False,138,8-24-6
False,6.0,,0,,,1,Dry,0.0,,False,253,9% Calcium Chelate
False,9.0,,0,,,2,Wet,12.2,,False,211,9-0-0
False,9.0,,0,,,1,Dry,0.0,,False,212,9-15-30
False,9.0,,0,,,2,Wet,9.98,,False,39,9-9-0
False,9.0,,0,,,2,Wet,10.0,,False,21,9-9-3-1
False,0.1,,0,,,2,Wet,9.76,,False,187,Acadian 0.1-0.0-5.0
False,20.0,,0,,,1,Dry,0.0,,False,113,Ag&Landscape (20-20-20)
False,39.0,,0,,,1,Dry,0.0,,False,221,Agroform
False,2.5,,0,,,2,Wet,9.6,,False,74,Agrothrive LF (2.5-2.5-1.5)
False,2.5,,0,,,2,Wet,10.0,,False,182,Agrothrive LFK
False,6.0,,0,,,1,Dry,0.0,,False,200,Ammonium Polyphosphate (6-23-6)
False,21.0,,0,,,1,Dry,0.0,,False,10,Ammonium Sulfate
False,30.0,,0,,,1,Dry,0.0,,False,214,Ammonium Sulfate & Urea
False,20.0,,0,,,2,Wet,10.5,,False,8,AN-20
False,20.0,,0,,,2,Wet,7.6,,False,9,Aqua-Ammonia
False,3.0,,0,,,2,Wet,9.6,,False,231,Biogro 3-6-5
False,0.0,,0,,,2,Wet,10.93,,False,162,biolink 0-5-5
False,2.0,,0,,,2,Wet,10.8,,False,108,Biomin Calcium (2-0-0)
False,5.46,,0,,,2,Wet,8.4,,False,107,Blue 76 (5.46-3.7-6.56)
False,0.3,,0,,,2,Wet,0.08,,False,325,Blue 76 Plus (0.3-0.1-0.5)
False,0.0,,0,,,2,Wet,0.0,,False,298,Blue Cal 60
False,28.0,,0,,,1,Dry,10.0,,False,177,Brant
False,1.0,,0,,,2,Wet,3.0,,False,313,CAC fertilizer
False,15.0,,0,,,1,Dry,10.0,,False,196,Calcium Fertilizer (15-3-25)
False,15.5,,0,,,1,Dry,0.0,,False,11,Calcium Nitrate
False,15.5,,0,,,1,Dry,0.0,,False,111,Calcium Nitrate (15.5-0-0)
False,9.0,,0,,,2,Wet,11.0,,False,118,Calcium Nitrate Liquid (9-0-0)
False,3.0,,0,,,1,Dry,0.0,,False,166,Cal-Express
False,27.0,,0,,,1,Dry,0.0,,False,120,Can 27
False,17.0,,0,,,2,Wet,12.6,,False,7,CAN-17
False,9.0,,0,,,2,Wet,12.2,,False,193,Can-9
False,2.0,,0,,,2,Wet,9.0,,False,296,CHB Activate
False,1.0,,0,,,2,Wet,9.1,,False,317,CHB Premium 21
False,0.0,,0,,,1,Dry,0.0,,False,321,CHB premium water conditioner 
False,4.0,,0,,,1,Dry,0.0,,False,305,Chicken Manure
False,2.0,,0,,,2,Wet,10.5,,False,242,CHP Activate 2-5-0
False,9.0,,0,,,2,Wet,12.2,,False,204,CN9
False,0.0,,0,,,1,Dry,,,False,436,cover crop compost
False,4.0,,0,,,1,Dry,0.0,,False,130,Crop finisher (4-2-41)
False,11.0,,0,,,1,Dry,0.0,,False,122,Dan's Mix
False,0.0,,0,,,2,Wet,0.0,,False,248,Dirt MD
False,1.0,,0,,,2,Wet,10.0,,False,145,Ecobloom
False,10.0,,0,,,1,Dry,0.0,,False,143,Feather meal & Meat meal mix
False,16.0,,0,,,1,Dry,0.0,,False,273,Ferticell Explorer Plant Protien
False,12.0,,0,,,1,Dry,0.0,,False,319,Grower's Secret 12-0-0
False,12.0,,0,,,1,Dry,0.0,,False,126,Guano
False,0.0,,0,,,1,Dry,0.0,,False,183,Gypsum 0-0-50
False,0.0,,0,,,1,Dry,0.0,,False,201,H85
False,2.0,,0,,,2,Wet,11.0,,False,227,Han's fertilizer
False,6.0,,0,,,1,Dry,10.0,,False,178,Harvest to harvest
False,6.0,,0,,,2,Wet,10.0,,False,245,Harvest to Harvest Liquid
False,0.0,,0,,,2,Wet,8.8,,False,262,HYTa
False,3.0,,0,,,1,Dry,0.0,,False,224,Jobe's Organics
False,0.0,,0,,,2,Wet,10.5,,False,203,K Tri
False,0.0,,0,,,2,Wet,11.3,,False,219,Katalyst
False,0.0,,0,,,1,Dry,0.0,,False,167,keep
False,0.5,,0,,,2,Wet,2.0,,False,220,Kelp meal fertilizer
False,5.0,,0,,,1,Dry,0.0,,False,348,Kreher's Composted Chicken manure
False,0.0,,0,,,2,Wet,12.2,,False,32,KTS
False,15.0,,0,,,2,Wet,1.0,,False,278,made up
False,10.0,,0,,,1,Dry,0.0,,False,160,Marcelo's Dry Fertilizer
False,0.0,,0,,,1,Dry,0.0,,False,263,MicroPlex-Miller
False,20.0,,0,,,1,Dry,0.0,,False,185,miller 20-19-20
False,6.0,,0,,,1,Dry,0.0,,False,161,miller 6-0-44
False,0.0,,0,,,1,Dry,10.0,,False,179,Miller Mix
False,0.01,,0,,,1,Dry,10.0,,False,176,MKB 0.1-53-24
False,4.0,,0,,,2,Wet,9.8,,False,171,MultiPlex
False,14.0,,0,,,1,Dry,0.0,,False,272,My Own Batch
False,0.0,,0,,,1,Dry,0.0,,False,251,Nabta MKP
False,3.0,,0,,,2,Wet,10.0,,False,232,Natures Source 3-1-1
False,13.62,,0,,,1,Dry,0.0,,False,112,Nitrato Solutions (13.62-0-0)
False,15.0,,0,,,2,Wet,12.65,,False,18,Nphuric 15-0-0-49
False,15.0,,0,,,2,Wet,12.65,,False,311,N-phuric Acid
False,4.0,,0,,,2,Wet,11.2,,False,238,NUE Flourish (BioGro)
False,4.0,,0,,,1,Dry,0.0,,False,304,Nutrients Plus 4-4-2
False,0.0,,0,,,2,Wet,10.0,,False,174,Omega Bugs in a Jug 0.2-1-0.5
False,10.0,,0,,,1,Dry,0.0,,False,244,Organic 10-5-2
False,3.0,,0,,,2,Wet,10.0,,False,310,Organic NX
False,14.0,,0,,,1,Dry,0.0,,False,158,Peter's 14-8-14
False,15.0,,0,,,1,Dry,0.0,,False,115,Phlow Agrolution (15-6-27)
False,0.0,,0,,,2,Wet,13.4,,False,217,Phosphoric Acid
False,9.0,,0,,,1,Dry,10.0,,False,199,Phosphorous (9-45-15)
False,5.0,,0,,,2,Wet,10.0,,False,101,Phytamin 5-1-2
False,13.5,,0,,,1,Dry,0.0,,False,172,Postassium nitrate
False,0.0,,0,,,1,Dry,10.0,,False,197,Potassium (0-18-42)
False,13.5,,0,,,1,Dry,0.0,,False,116,Potassium Nitrate (13.5-0-45)
False,6.0,,0,,,2,Wet,11.06,,False,222,Potassium Thiosulfate
False,0.0,,0,,,2,Wet,8.4,,False,295,Premium SB
False,18.0,,0,,,1,Dry,0.0,,False,275,Pre-Plant 
False,3.6,,0,,,1,Dry,0.0,,False,139,Preplant Blend
False,15.0,,0,,,1,Dry,0.0,,False,110,Pure Protein (15-1-1)
False,3.0,,0,,,2,Wet,0.0,,False,346,Ranch 34
False,2.0,,0,,,2,Wet,10.0,,False,109,Rapid Hydro (2-4-0.2)
False,1.0,,0,,,1,Dry,0.0,,False,125,Scotts 1-2-3-4
False,15.0,,0,,,1,Dry,0.0,,False,117,Scotts Dark Weather (15-0-15)
False,4.0,,0,,,2,Wet,9.6,,False,103,Secure Organics (4-1-1)
False,7.0,,0,,,1,Dry,0.0,,False,349,soybean meal
False,2.0,,0,,,2,Wet,10.0,,False,202,Stoller Liquid (2-0-3)
False,7.0,,0,,,2,Wet,10.9,,False,218,Structure 7-21-0
False,15.0,,0,,,2,Wet,12.65,,False,38,Sulfuric Acid
False,0.0,,0,,,1,Dry,1.0,,False,119,Super Boron!!!!
False,16.57,,0,,,2,Wet,0.16,,False,186,Tank A&B
False,0.0,,0,,,1,Dry,0.0,,False,274,Test Fertilizer
False,0.0,,0,,,2,Wet,10.43,,False,76,Thio-cal
False,4.0,,0,,,2,Wet,9.8,,False,144,Tierra Fertil
False,15.0,,0,,,1,Dry,,,False,442,Triple 15
False,4.0,,0,,,2,Wet,0.32,,False,276,TRUE 4-0-2
False,4.0,,0,,,2,Wet,10.1,,False,163,true 4-1-3
False,0.0,,0,,,1,Dry,0.0,,False,150,TRUE 4-4-2
False,7.0,,0,,,1,Dry,0.0,,False,236,True Organic
False,2.0,,0,,,2,Wet,10.9,,False,105,True Organic (2-0-8)
False,2.0,,0,,,2,Wet,8.8,,False,104,True Organic (2-4-0.5)
False,13.0,,0,,,1,Dry,0.0,,False,300,True organic 13-1-0
False,1.0,,0,,,2,Wet,10.8,,False,246,True Organic 1-4-0
False,1.0,,0,,,2,Wet,10.9,,False,173,True organic 1-5-0
False,8.0,,0,,,1,Dry,0.0,,False,337,True organic 8-1-1
False,8.0,,0,,,1,Dry,0.0,,False,213,True Organic 8-5-1
False,0.5,,0,,,2,Wet,9.3,,False,106,True Organic BioBlend
False,5.0,,0,,,2,Wet,9.5,,False,320,True Organics 5-1-2
False,28.0,,0,,,2,Wet,10.66,,False,4,UAN28
False,30.0,,0,,,2,Wet,10.83,,False,5,UAN30
False,32.0,,0,,,2,Wet,11.1,,False,3,UAN32
False,8.0,,0,,,2,Wet,10.9,,False,368,Ultra Gro 8-16-8
False,46.0,,0,,,1,Dry,0.0,,False,2,Urea
False,20.0,,0,,,2,Wet,9.33,,False,6,Urea-20
False,18.0,,0,,,1,Dry,0.0,,False,290,Val's Chualar Blend
False,3.0,,0,,,2,Wet,9.5,,False,297,Wiserganic 
